               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.091328,            0.027488,            0.049893,             0.23642,             0.23656,             0.11276,            0.036007,            0.073323,            0.014161,            0.044756,            0.070395,           0.0032895,           0.0032895
                   1,            0.060638,            0.023238,            0.032332,             0.34877,             0.38393,             0.32098,             0.13776,            0.058683,            0.010606,            0.026679,            0.040067,            0.006295,            0.006295
                   2,            0.058766,             0.01947,            0.020567,             0.36591,              0.4538,             0.32805,             0.13686,            0.058294,              0.0104,            0.017029,           0.0094091,           0.0089705,           0.0089705
                   3,            0.053864,              0.0194,            0.014274,             0.43342,             0.49827,              0.3988,             0.16699,            0.056596,            0.010614,            0.022085,            0.008515,            0.008515,            0.008515
                   4,            0.049873,            0.018231,            0.011537,             0.53253,             0.58767,             0.51724,             0.24721,            0.047056,           0.0095842,            0.011749,            0.008515,            0.008515,            0.008515
                   5,            0.047866,            0.018433,            0.010035,             0.50401,             0.53985,             0.48999,             0.21648,            0.051654,           0.0099031,            0.014132,             0.00802,             0.00802,             0.00802
                   6,            0.045032,            0.017841,           0.0094966,             0.61691,               0.545,             0.52487,             0.24821,            0.049281,            0.010628,            0.016869,            0.007525,            0.007525,            0.007525
                   7,            0.043871,            0.017931,           0.0085217,             0.71519,             0.68242,             0.69791,             0.33704,            0.042584,           0.0087455,           0.0082043,             0.00703,             0.00703,             0.00703
                   8,            0.041727,            0.017477,           0.0072809,             0.72386,              0.6529,             0.67897,             0.35866,            0.041722,           0.0090719,           0.0080579,            0.006535,            0.006535,            0.006535
                   9,            0.039482,            0.016916,           0.0074444,             0.72302,             0.65392,             0.69097,             0.35787,            0.040757,           0.0086609,            0.011878,             0.00604,             0.00604,             0.00604
                  10,            0.038968,             0.01662,           0.0064583,             0.77464,             0.76601,             0.78595,             0.43638,            0.036375,           0.0079806,           0.0053182,            0.005545,            0.005545,            0.005545
                  11,            0.037623,            0.016282,           0.0056675,             0.80002,             0.76614,             0.79576,              0.4459,            0.035616,           0.0081858,           0.0041413,             0.00505,             0.00505,             0.00505
                  12,            0.036861,             0.01631,           0.0055863,             0.79633,             0.78133,             0.80174,             0.46305,            0.035091,           0.0078069,           0.0032355,            0.004555,            0.004555,            0.004555
                  13,            0.035662,             0.01544,           0.0054265,             0.82496,             0.78505,             0.82145,             0.46742,            0.034639,           0.0077787,           0.0035462,             0.00406,             0.00406,             0.00406
                  14,            0.033774,            0.015408,           0.0046693,             0.84164,             0.80716,             0.83163,             0.48903,            0.033465,           0.0075314,           0.0031047,            0.003565,            0.003565,            0.003565
                  15,            0.032391,            0.015651,           0.0042678,             0.80376,             0.81681,             0.81202,              0.4995,             0.03291,             0.00733,           0.0022945,             0.00307,             0.00307,             0.00307
                  16,            0.031977,            0.014997,           0.0041152,             0.85262,              0.8298,             0.85289,             0.53212,            0.031666,           0.0072665,            0.002225,            0.002575,            0.002575,            0.002575
                  17,             0.03066,            0.014787,           0.0031942,             0.84293,             0.82507,             0.84897,             0.54406,            0.031208,           0.0073114,           0.0021456,             0.00208,             0.00208,             0.00208
                  18,            0.029686,            0.014175,           0.0029152,             0.85319,             0.83765,             0.86561,             0.55431,            0.030419,           0.0071762,           0.0020623,            0.001585,            0.001585,            0.001585
                  19,             0.02849,            0.014017,           0.0029974,             0.86886,             0.82465,             0.86897,             0.56565,            0.029173,           0.0070724,           0.0017831,             0.00109,             0.00109,             0.00109
